iter	Passed	Remaining
709	15166	6194
710	15186	6172
711	15208	6151
712	15230	6130
713	15249	6108
714	15269	6086
715	15292	6065
716	15311	6043
717	15334	6022
718	15357	6001
719	15376	5979
720	15395	5957
721	15414	5935
722	15434	5913
723	15456	5892
724	15477	5870
725	15497	5848
726	15519	5827
727	15541	5806
728	15562	5785
729	15585	5764
730	15607	5743
731	15629	5722
732	15649	5700
733	15668	5678
734	15691	5657
735	15712	5636
736	15732	5614
737	15755	5593
738	15774	5571
739	15792	5548
740	15814	5527
741	15836	5506
742	15858	5485
743	15880	5464
744	15903	5443
745	15926	5422
746	15948	5401
747	15970	5380
748	15993	5359
749	16015	5338
750	16034	5316
751	16056	5295
752	16078	5274
753	16100	5253
754	16123	5232
755	16145	5211
756	16167	5189
757	16186	5167
758	16207	5146
759	16228	5124
760	16250	5103
761	16269	5081
762	16290	5060
763	16311	5038
764	16330	5016
765	16349	4994
766	16371	4973
767	16391	4951
768	16410	4929
769	16429	4907
770	16451	4886
771	16471	4864
772	16493	4843
773	16512	4821
774	16534	4800
775	16557	4779
776	16579	4758
777	16600	4736
778	16623	4715
779	16645	4694
780	16668	4673
781	16688	4652
782	16710	4631
783	16731	4609
784	16754	4588
785	16777	4567
786	16799	4546
787	16821	4525
788	16842	4504
789	16860	4481
790	16881	4460
791	16902	4439
792	16924	4417
793	16943	4395
794	16965	4374
795	16988	4353
796	17006	4331
797	17025	4309
798	17043	4287
799	17066	4266
800	17089	4245
801	17111	4224
802	17134	4203
803	17156	4182
804	17176	4160
805	17198	4139
806	17217	4117
807	17239	4096
808	17262	4075
809	17280	4053
810	17302	4032
811	17325	4011
812	17348	3990
813	17368	3968
814	17392	3947
815	17412	3926
816	17433	3905
817	17453	3883
818	17475	3862
819	17494	3840
820	17517	3819
821	17536	3797
822	17559	3776
823	17580	3754
824	17602	3733
825	17624	3712
826	17644	3690
827	17666	3669
828	17685	3647
829	17706	3626
830	17726	3604
831	17747	3583
832	17767	3561
833	17789	3540
834	17811	3519
835	17831	3498
836	17854	3476
837	17876	3455
838	17898	3434
839	17918	3413
840	17940	3391
841	17961	3370
842	17984	3349
843	18005	3328
844	18028	3307
845	18049	3285
846	18068	3263
847	18090	3242
848	18112	3221
849	18130	3199
850	18150	3177
851	18172	3156
852	18194	3135
853	18214	3113
854	18237	3092
855	18259	3071
856	18278	3049
857	18297	3028
858	18316	3006
859	18339	2985
860	18362	2964
861	18383	2943
862	18403	2921
863	18424	2900
864	18445	2878
865	18465	2857
866	18503	2838
867	18530	2817
868	18552	2796
869	18571	2775
870	18593	2753
871	18615	2732
872	18635	2711
873	18653	2689
874	18672	2667
875	18695	2646
876	18713	2624
877	18735	2603
878	18754	2581
879	18777	2560
880	18799	2539
881	18821	2518
882	18840	2496
883	18860	2474
884	18880	2453
885	18902	2432
886	18920	2410
887	18943	2389
888	18965	2368
889	18984	2346
890	19006	2325
891	19027	2303
892	19050	2282
893	19072	2261
894	19094	2240
895	19113	2218
896	19137	2197
897	19158	2176
898	19177	2154
899	19199	2133
900	19221	2112
901	19242	2090
902	19264	2069
903	19285	2047
904	19308	2026
905	19329	2005
906	19351	1984
907	19371	1962
908	19390	1941
909	19409	1919
910	19431	1898
911	19452	1876
912	19475	1855
913	19497	1834
914	19519	1813
915	19538	1791
916	19560	1770
917	19583	1749
918	19603	1727
919	19625	1706
920	19647	1685
921	19669	1664
922	19691	1642
923	19715	1621
924	19736	1600
925	19757	1578
926	19779	1557
927	19802	1536
928	19824	1515
929	19847	1493
930	19867	1472
931	19887	1451
932	19908	1429
933	19930	1408
934	19950	1386
935	19970	1365
936	19993	1344
937	20013	1322
938	20036	1301
939	20055	1280
940	20076	1258
941	20097	1237
942	20119	1216
943	20139	1194
944	20160	1173
945	20181	1152
946	20203	1130
947	20221	1109
948	20244	1087
949	20267	1066
950	20290	1045
951	20312	1024
952	20331	1002
953	20351	981
954	20370	959
955	20393	938
956	20412	917
957	20431	895
958	20451	874
959	20472	853
960	20496	831
961	20514	810
962	20534	788
963	20557	767
964	20578	746
965	20600	725
966	20622	703
967	20644	682
968	20663	661
969	20683	639
970	20706	618
971	20729	597
972	20747	575
973	20770	554
974	20789	533
975	20811	511
976	20833	490
977	20855	469
978	20874	447
979	20896	426
980	20919	405
981	20942	383
982	20964	362
983	20986	341
984	21009	319
985	21028	298
986	21050	277
987	21071	255
988	21094	234
989	21115	213
990	21138	191
991	21159	170
992	21182	149
993	21204	127
994	21227	106
995	21249	85
996	21271	64
997	21291	42
998	21314	21
999	21337	0
